.id,chemical,min,max,median_POD,POD_med,mean_POD,low_conf,high_conf,n_genes,Assay,confidence
Acute LOEC,BPAF,0.0001,1,0.01,NA,NA,NA,NA,NA,Literature,1
Chronic LOEC,BPAF,0.0001,1,0.05,NA,NA,NA,NA,NA,Literature,1
Acute LOEC,BPA,0.0001,1,1.15,NA,NA,NA,NA,NA,Literature,1
Chronic LOEC,BPA,0.0001,1,0.001,NA,NA,NA,NA,NA,Literature,1
Acute LOEC,DES,0.00001,0.1,0.027,NA,NA,NA,NA,NA,Literature,1
Chronic LOEC,DES,0.00001,0.1,0.001,NA,NA,NA,NA,NA,Literature,1
Acute LOEC,TGSH,0.0001,1,33.4,NA,NA,NA,NA,NA,Literature,1
Chronic LOEC,TGSH,0.0001,1,0.24,NA,NA,NA,NA,NA,Literature,1
Acute LOEC,EE2,0.0000001,0.001,0.0000283,NA,NA,NA,NA,NA,Literature,1
Chronic LOEC,EE2,0.0000001,0.001,0.00000097,NA,NA,NA,NA,NA,Literature,1
Acute LOEC,BPA,0.0001,1,0.01,NA,NA,NA,NA,NA,Literature,1
Acute LOEC,BPA,0.0001,1,4.99999999613144,NA,NA,NA,NA,NA,Literature,1
Acute LOEC,BPA,0.0001,1,0.000870000000764002,NA,NA,NA,NA,NA,Literature,1
Acute LOEC,BPA,0.0001,1,0.0227999999999762,NA,NA,NA,NA,NA,Literature,1
Chronic LOEC,BPA,0.0001,1,0.200000000154742,NA,NA,NA,NA,NA,Literature,1
Acute LOEC,BPA,0.0001,1,0.000227999999999762,NA,NA,NA,NA,NA,Literature,1
Acute LOEC,BPAF,0.0001,1,0.001,NA,NA,NA,NA,NA,Literature,1
Acute LOEC,BPAF,0.0001,1,1,NA,NA,NA,NA,NA,Literature,1
Acute LOEC,BPAF,0.0001,1,1,NA,NA,NA,NA,NA,Literature,1
Chronic LOEC,BPAF,0.0001,1,0.25000000018879,NA,NA,NA,NA,NA,Literature,1
Acute LOEC,DES,0.00001,0.1,0.0267999999982235,NA,NA,NA,NA,NA,Literature,1
Chronic LOEC,DES,0.00001,0.1,0.00001,NA,NA,NA,NA,NA,Literature,1
Acute LOEC,EE2,0.0000001,0.001,0.00001,NA,NA,NA,NA,NA,Literature,1
Acute LOEC,EE2,0.0000001,0.001,2.50E-05,NA,NA,NA,NA,NA,Literature,1
Chronic LOEC,EE2,0.0000001,0.001,1.10E-06,NA,NA,NA,NA,NA,Literature,1
Acute LOEC,TGSH,0.0001,1,33.0000000092788,NA,NA,NA,NA,NA,Literature,1
