plate_id,Cycle,Dose,pval,se,value,sd
17betaestradiol,Light_1,Dose1,1,53.79825584729489,797.8222222222222,360.8896714364308
17betaestradiol,Light_1,Dose2,1,72.58407243045555,742.9454545454546,486.90876011480094
17betaestradiol,Light_1,Dose3,1,66.01242571702706,716.5444444444445,442.82481378878344
17betaestradiol,Light_1,Dose4,0.2673280091488548,64.33154408111801,961.7911111111111,431.5491169887124
17betaestradiol,Light_1,Dose5,1,65.75638944685466,717.2444444444444,441.10727027435047
17betaestradiol,Dark_1,Dose1,1,55.9430748370361,1244.28,375.2775546179121
17betaestradiol,Dark_1,Dose2,1,77.10574925694874,1492.667441860465,517.2410903837739
17betaestradiol,Dark_1,Dose3,1,46.619520508906554,1161.9444444444443,312.73325080908194
17betaestradiol,Dark_1,Dose4,1,35.24739792674149,1442.8333333333333,236.4467333825374
17betaestradiol,Dark_1,Dose5,0.3819056111258716,38.6689328779763,1489.0511111111111,259.3990875975948
17betaestradiol,Light_2,Dose1,1,57.44764070392003,748.3911111111111,385.3704892828472
17betaestradiol,Light_2,Dose2,1,76.00136824629304,874.1444444444444,509.8326773451157
17betaestradiol,Light_2,Dose3,1,57.49708647866736,690.6066666666667,385.7021816234527
17betaestradiol,Light_2,Dose4,1,54.400462212088684,745.3533333333334,364.92939454091663
17betaestradiol,Light_2,Dose5,1,58.7924253483299,945.1555555555556,394.39157892284226
17betaestradiol,Dark_2,Dose1,1,45.174829813838976,1179.851111111111,303.0419710071844
17betaestradiol,Dark_2,Dose2,1,59.370523278929475,1317.8204545454546,398.26957773426005
17betaestradiol,Dark_2,Dose3,1,45.087274017608834,1250.8555555555556,302.45462887060023
17betaestradiol,Dark_2,Dose4,1,35.12670099487553,1347.9355555555555,235.6370737495535
17betaestradiol,Dark_2,Dose5,1,43.175800203728976,1364.1466666666668,289.6320727154618
17betaestradiol,Light_3,Dose1,1,60.022096739198446,657.9133333333333,402.6404653827486
17betaestradiol,Light_3,Dose2,1,115.70975938553966,928.1622222222222,776.204662938633
17betaestradiol,Light_3,Dose3,0.11135673904161657,55.31016182919073,443.8355555555556,371.0318450897538
17betaestradiol,Light_3,Dose4,1,35.85954891010084,600.5555555555555,240.55316701639194
17betaestradiol,Light_3,Dose5,1,54.68257352541588,764.3222222222222,366.8218547623807
17betaestradiol,Dark_3,Dose1,1,39.112056757966386,1168.16,262.37165295192864
17betaestradiol,Dark_3,Dose2,1,81.28482166015517,1426.5666666666666,545.2751603131628
17betaestradiol,Dark_3,Dose3,1,35.95773388040037,1216.7844444444445,241.21181182026754
17betaestradiol,Dark_3,Dose4,1,35.28408889065999,1248.3955555555556,236.69286385098263
17betaestradiol,Dark_3,Dose5,0.5928196685791431,42.19486143522216,1383.868888888889,283.0517354110233
17betaestradiol,Light_1,Control,1,55.31190163835202,689.4911111111111,371.04351608441135
17betaestradiol,Dark_1,Control,1,43.73582509633793,1312.8177777777778,293.3888339023587
17betaestradiol,Light_2,Control,1,54.09624343482475,865.2088888888889,362.8886329429346
17betaestradiol,Dark_2,Control,1,39.27266059561202,1312.5355555555554,263.44901624719756
17betaestradiol,Light_3,Control,1,56.156363104920864,724.9133333333333,376.7083358152926
17betaestradiol,Dark_3,Control,1,37.41620296968829,1227.9888888888888,250.9955199004576
1decanol,Light_1,Dose1,1,60.98973382728631,967.3133333333334,409.13157230229183
1decanol,Light_1,Dose2,0.28442258359212474,60.23199832685854,600.6711111111111,404.0485280385279
1decanol,Light_1,Dose3,1,70.85701653272731,829.7066666666667,475.3233169500142
1decanol,Light_1,Dose4,0.513948474458643,45.835000917322,654.6533333333333,307.47053339969165
1decanol,Light_1,Dose5,0.8782363684871272,70.00501896068414,638.3622222222223,469.60794348675427
1decanol,Dark_1,Dose1,1,51.0329347187111,1229.7386363636363,342.3393333670414
1decanol,Dark_1,Dose2,0.31106297321430065,68.11346413125378,975.7133333333334,456.91900794143135
1decanol,Dark_1,Dose3,0.028523993303867106,52.34513141368593,956.2577777777777,351.1418163964842
1decanol,Dark_1,Dose4,1,36.16241684599716,1113.0311111111112,242.58486689499955
1decanol,Dark_1,Dose5,1,26.830701847252552,1156.3533333333332,179.98581964345766
1decanol,Light_2,Dose1,1,55.3595515489352,815.1688888888889,371.3631614019687
1decanol,Light_2,Dose2,1,73.76896091286538,725.1911111111111,494.8572336920758
1decanol,Light_2,Dose3,1,49.760710881927196,547.5733333333334,333.80499642210816
1decanol,Light_2,Dose4,1,47.48745574096089,875.4311111111111,318.5555373459036
1decanol,Light_2,Dose5,0.042507788267985375,47.34285828430194,418.3088888888889,317.5855481185146
1decanol,Dark_2,Dose1,1,27.58508069170139,1137.9,185.0463467743837
1decanol,Dark_2,Dose2,1,36.71764364861424,1107.6755555555555,246.30944151574454
1decanol,Dark_2,Dose3,0.0071670142695726136,42.96999246074309,904.6155555555556,288.2514724046251
1decanol,Dark_2,Dose4,1,42.233903230019465,1072.2488888888888,283.3136357324144
1decanol,Dark_2,Dose5,1,38.76460605795295,1119.9133333333334,260.0408827997489
1decanol,Light_3,Dose1,1,41.98492353529861,687.0488888888889,281.64342916517546
1decanol,Light_3,Dose2,1,48.484074634396805,558.8911111111111,325.2410601260536
1decanol,Light_3,Dose3,1,68.6297104598309,714.771111111111,460.3820935929308
1decanol,Light_3,Dose4,1,37.66239012998285,541.4266666666666,252.64699357727642
1decanol,Light_3,Dose5,1,41.25457752243299,527.4422222222222,276.7441191695851
1decanol,Dark_3,Dose1,1,50.72880300722119,1122.5666666666666,340.299155824027
1decanol,Dark_3,Dose2,1,39.243989887777836,1142.197777777778,263.25668729215676
1decanol,Dark_3,Dose3,1,58.10116739382482,984.7133333333334,389.7544795940598
1decanol,Dark_3,Dose4,0.8425617988052896,46.19788398184002,924.9044444444444,309.9048270001289
1decanol,Dark_3,Dose5,1,36.0408875862158,1028.3111111111111,241.76962383662055
1decanol,Light_1,Control,1,64.97500098911391,882.0533333333333,435.86555714932433
1decanol,Dark_1,Control,1,38.22697015671676,1222.7977777777778,256.4343115328234
1decanol,Light_2,Control,1,54.79870017996906,702.88,367.60085604312235
1decanol,Dark_2,Control,1,51.54380213247374,1213.3822222222223,345.76633616102976
1decanol,Light_3,Control,1,43.03397833263336,660.7311111111111,288.6807026820638
1decanol,Dark_3,Control,1,24.005669621192414,1059.9888888888888,161.0349273551636
1octanol,Light_1,Dose1,1,51.00820540272207,923.1311111111111,342.17344407227574
1octanol,Light_1,Dose2,1,56.37719518895683,813.02,378.18972246984475
1octanol,Light_1,Dose3,1,51.04999292192746,930.2044444444444,342.4537632729388
1octanol,Light_1,Dose4,1,57.82781342582194,928.0444444444445,387.92076543093856
1octanol,Light_1,Dose5,1,66.32850928772793,900.5177777777778,444.94516684075745
1octanol,Dark_1,Dose1,1,45.502637562456655,1239.5577777777778,305.24097223556527
1octanol,Dark_1,Dose2,1,57.33971516826712,1045.828888888889,384.64650278016325
1octanol,Dark_1,Dose3,1,39.027937971560945,1268.5622222222223,261.8073669781666
1octanol,Dark_1,Dose4,1.896903300835362e-5,33.55330000112072,1494.7244444444445,225.08237901584909
1octanol,Dark_1,Dose5,1,43.08942450216956,1278.0222222222221,289.0526468945885
1octanol,Light_2,Dose1,1,49.223863741239995,692.2733333333333,330.2037163217993
1octanol,Light_2,Dose2,0.34768630625638103,54.893704810605506,840.9044444444445,368.2381664799634
1octanol,Light_2,Dose3,1,52.63907088265759,768.1444444444445,353.1136222981567
1octanol,Light_2,Dose4,1,42.43896753758938,765.0533333333333,284.68924892687016
1octanol,Light_2,Dose5,0.04545845667412871,41.486914329774635,851.5,278.30268185425865
1octanol,Dark_2,Dose1,1,31.36363486458787,1185.9133333333334,210.39365873610268
1octanol,Dark_2,Dose2,1,28.80472176890558,1173.348888888889,193.2279478447226
1octanol,Dark_2,Dose3,0.31139591782059317,29.326198791831207,1286.9288888888889,196.72612206062036
1octanol,Dark_2,Dose4,1.285199613461416e-4,31.100767984859086,1418.0644444444445,208.63029409978222
1octanol,Dark_2,Dose5,1,35.06022475427712,1178.171111111111,235.19113757095354
1octanol,Light_3,Dose1,1,71.27728957846304,639.7155555555555,478.1425942481421
1octanol,Light_3,Dose2,1,53.81488344023191,699.6177777777777,361.0012127207589
1octanol,Light_3,Dose3,1,50.594832849917694,627.6666666666666,339.40045668796614
1octanol,Light_3,Dose4,3.852648522206792e-6,30.627938226397152,1043.9733333333334,205.45845565466513
1octanol,Light_3,Dose5,1,49.24559376279775,622.8,330.3494857378663
1octanol,Dark_3,Dose1,1,33.11066229781918,1137.131111111111,222.11307503388923
1octanol,Dark_3,Dose2,1,34.27632699318377,1061.871111111111,229.93259152730968
1octanol,Dark_3,Dose3,1,35.04474142056933,1190.111111111111,235.0872722108867
1octanol,Dark_3,Dose4,2.342509386465963e-7,25.253381456191992,1411.5111111111112,169.40483279333378
1octanol,Dark_3,Dose5,1,33.33301281664085,1149.68,223.60464765864205
1octanol,Light_1,Control,1,61.731579088746166,831.2088888888889,414.10802160252285
1octanol,Dark_1,Control,1,34.24817839618321,1186.2488888888888,229.74376499821614
1octanol,Light_2,Control,1,34.46643493204372,641.0444444444445,231.2078743503693
1octanol,Dark_2,Control,1,36.44970746981711,1140.1622222222222,244.51207098747878
1octanol,Light_3,Control,1,47.02734272353014,643.56,315.4690053929805
1octanol,Dark_3,Control,1,21.111921621868085,1156.1888888888889,141.62307564643396
24DMP,Light_1,Dose1,1,60.66994726394692,789.9866666666667,406.9863788205381
24DMP,Light_1,Dose2,1,72.46854591803776,686.7866666666666,486.13378470989204
24DMP,Light_1,Dose3,1,61.81575494642089,710.7933333333333,414.67269042199797
24DMP,Light_1,Dose4,1,65.9766272987595,861.9288888888889,442.5846706985837
24DMP,Light_1,Dose5,1,49.58495026195306,656.7844444444445,332.62595834001917
24DMP,Dark_1,Dose1,1,27.950812206987887,1262.04,187.49974836346752
24DMP,Dark_1,Dose2,1,37.82068612531902,1269.3466666666666,253.7088753956894
24DMP,Dark_1,Dose3,1,40.370937260715685,1219.7155555555555,270.81648009101826
24DMP,Dark_1,Dose4,1,65.32697327491535,1264.8622222222223,438.2266590210683
24DMP,Dark_1,Dose5,1,57.26684069618394,1177.9622222222222,384.157645959956
24DMP,Light_2,Dose1,1,66.1365246664012,719.8466666666667,443.65729484899407
24DMP,Light_2,Dose2,1,47.695466529820145,711.2888888888889,319.95091613773155
24DMP,Light_2,Dose3,1,41.00941953879731,657.3866666666667,275.0995494196766
24DMP,Light_2,Dose4,1,43.19227708226398,833.1244444444444,289.7426029768456
24DMP,Light_2,Dose5,1,53.20033640814119,677.6133333333333,356.8787059033821
24DMP,Dark_2,Dose1,1,28.571124074215167,1175.8044444444445,191.66092687057758
24DMP,Dark_2,Dose2,1,36.414000998062114,1246.36,244.27254469323623
24DMP,Dark_2,Dose3,1,34.156949466506276,1225.0977777777778,229.13178273339966
24DMP,Dark_2,Dose4,1,56.89990170590291,1249.3533333333332,381.6961443823655
24DMP,Dark_2,Dose5,1,31.515928572070038,1287.4488888888889,211.41527598352945
24DMP,Light_3,Dose1,1,50.02571582530014,693.1863636363636,335.58270362537434
24DMP,Light_3,Dose2,1,59.665636548487875,814.5622222222222,400.24925772964446
24DMP,Light_3,Dose3,0.6781159004914444,41.33433081505216,537.7422222222223,277.2791205207628
24DMP,Light_3,Dose4,1,59.20096393905366,817.1,397.1321391037131
24DMP,Light_3,Dose5,1,46.57224545225027,707.22,312.41612008811114
24DMP,Dark_3,Dose1,1,35.111504201226225,1220.7333333333333,235.5351305586339
24DMP,Dark_3,Dose2,1,33.391502047357434,1222.8577777777778,223.99700534614388
24DMP,Dark_3,Dose3,1,26.656506995621758,1161.1355555555556,178.81728505472682
24DMP,Dark_3,Dose4,1,43.002768271500216,1272.931111111111,288.47133922723685
24DMP,Dark_3,Dose5,1,37.01221643804334,1254.8933333333334,248.28549586020014
24DMP,Light_1,Control,1,69.06888755805537,684.0511111111111,463.3281831303037
24DMP,Dark_1,Control,1,51.615962703660756,1272.1772727272728,346.2504039884379
