Chemical,Dose(mg/L),Animal,Group,Replicate,Delta_Fluorescence
BPA,1,1,A,1,5.512750000000004
BPA,0.1,2,A,1,10.745749999999997
BPA,0.01,3,A,1,4.5177499999999995
BPA,0.001,4,A,1,7.913249999999998
BPA,1e-4,5,A,1,6.084749999999996
BPA,0,6,A,1,9.446749999999998
BPA,1,7,A,2,10.330750000000002
BPA,0.1,8,A,2,6.2982499999999995
BPA,0.01,9,A,2,7.876249999999999
BPA,0.001,10,A,2,7.559750000000005
BPA,1e-4,11,A,2,19.598249999999997
BPA,0,12,A,2,12.345250000000004
BPA,1,13,A,3,32.576750000000004
BPA,0.1,14,A,3,81.24675
BPA,0.01,15,A,3,7.086250000000003
BPA,0.001,16,A,3,6.302250000000001
BPA,1e-4,17,A,3,4.47175
BPA,0,18,A,3,11.37575
BPA,1,19,B,1,9.954249999999995
BPA,0.1,20,B,1,4.679250000000007
BPA,0.01,21,B,1,13.490749999999998
BPA,0.001,22,B,1,9.829749999999997
BPA,1e-4,23,B,1,7.147750000000002
BPA,0,24,B,1,9.98575
BPA,1,25,B,2,10.835249999999998
BPA,0.1,26,B,2,5.638250000000003
BPA,0.01,27,B,2,16.626749999999998
BPA,0.001,28,B,2,7.775749999999999
BPA,1e-4,29,B,2,8.806749999999997
BPA,0,30,B,2,9.840250000000001
BPA,1,31,B,3,10.958750000000006
BPA,0.1,32,B,3,5.003249999999998
BPA,0.01,33,B,3,12.326749999999993
BPA,0.001,34,B,3,4.771750000000008
BPA,1e-4,35,B,3,11.267250000000004
BPA,0,36,B,3,7.313749999999995
BPA,1,37,C,1,15.614750000000004
BPA,0.1,38,C,1,7.38025
BPA,0.01,39,C,1,13.408750000000005
BPA,0.001,40,C,1,3.7737499999999997
BPA,1e-4,41,C,1,17.141249999999996
BPA,0,42,C,1,7.799750000000003
BPA,1,43,C,2,8.426749999999998
BPA,0.1,44,C,2,8.838250000000002
BPA,0.01,45,C,2,18.08675
BPA,0.001,46,C,2,11.151249999999997
BPA,1e-4,47,C,2,5.594250000000002
BPA,0,48,C,2,6.05275
BPA,1,49,C,3,10.88175
BPA,0.1,50,C,3,5.096250000000001
BPA,0.01,51,C,3,29.699749999999998
BPA,0.001,52,C,3,10.287749999999999
BPA,1e-4,53,C,3,8.537749999999999
BPA,0,54,C,3,8.678749999999997
BPAF,1,1,A,1,1.436749999999999
BPAF,0.1,2,A,1,4.32675
BPAF,0.01,3,A,1,1.0987499999999981
BPAF,0.001,4,A,1,4.060250000000003
BPAF,1e-4,5,A,1,1.8772499999999956
BPAF,0,6,A,1,0.700249999999996
BPAF,1,7,A,2,2.946749999999997
BPAF,0.1,8,A,2,4.300749999999996
BPAF,0.01,9,A,2,11.073749999999997
BPAF,0.001,10,A,2,4.902249999999998
BPAF,1e-4,11,A,2,0.844249999999998
BPAF,0,12,A,2,1.8852499999999983
BPAF,1,13,A,3,2.310749999999998
BPAF,0.1,14,A,3,3.624749999999998
BPAF,0.01,15,A,3,2.610249999999996
BPAF,0.001,16,A,3,3.525249999999999
BPAF,1e-4,17,A,3,4.547249999999997
BPAF,0,18,A,3,2.7877499999999946
BPAF,1,19,B,1,6.044250000000001
BPAF,0.1,20,B,1,2.6367499999999984
BPAF,0.01,21,B,1,4.289249999999998
BPAF,0.001,22,B,1,3.443249999999998
BPAF,1e-4,23,B,1,5.013749999999997
BPAF,0,24,B,1,1.7227500000000004
BPAF,1,25,B,2,3.769250000000002
BPAF,0.1,26,B,2,2.2502500000000003
BPAF,0.01,27,B,2,1.874249999999999
BPAF,0.001,28,B,2,3.0582499999999984
BPAF,1e-4,29,B,2,3.68025
BPAF,0,30,B,2,2.599749999999996
BPAF,1,31,B,3,6.319249999999996
BPAF,0.1,32,B,3,3.5792499999999974
BPAF,0.01,33,B,3,5.99875
BPAF,0.001,34,B,3,2.6292500000000016
BPAF,1e-4,35,B,3,5.792749999999997
BPAF,0,36,B,3,7.158749999999997
BPAF,1,37,C,1,6.132249999999998
BPAF,0.1,38,C,1,5.720749999999998
BPAF,0.01,39,C,1,3.6547499999999955
BPAF,0.001,40,C,1,5.297250000000001
BPAF,1e-4,41,C,1,4.246249999999995
BPAF,0,42,C,1,2.5247499999999965
BPAF,1,43,C,2,2.7187499999999956
BPAF,0.1,44,C,2,7.0722499999999995
BPAF,0.01,45,C,2,2.576749999999996
BPAF,0.001,46,C,2,5.474249999999999
BPAF,1e-4,47,C,2,3.1347499999999995
BPAF,0,48,C,2,6.942749999999999
BPAF,1,49,C,3,5.054750000000001
