#NAME	B7	B8	B9	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10
#CLASS:DOSE	10000000	10000000	10000000	1000000	1000000	100000	100000	100000	10000	10000	10000	1000	1000	1000	0
ENSDARG00000002411	79	24	35	28	14	13	18	4	24	5	25	36	33	9	17
ENSDARG00000002445	75	21	26	18	22	24	22	24	19	0	19	46	24	10	13
ENSDARG00000002463	0	0	12	4	22	0	21	31	0	15	0	0	48	0	14
ENSDARG00000002467	26	1	18	14	4	6	21	0	3	15	4	28	16	5	14
ENSDARG00000002479	68	25	47	24	9	38	9	35	6	6	36	22	43	20	26
ENSDARG00000002483	17	0	11	13	9	6	19	0	0	0	5	7	9	0	15
ENSDARG00000002487	127	23	51	45	53	114	36	23	48	27	26	118	121	18	26
ENSDARG00000002494	137	25	75	13	69	55	11	15	13	16	46	29	37	10	19
ENSDARG00000002506	52	0	24	23	21	45	27	17	14	3	5	48	28	14	3
ENSDARG00000002507	70	0	33	39	32	44	26	14	4	2	22	21	34	1	44
ENSDARG00000002508	45	165	26	52	29	62	28	17	22	0	23	85	86	35	63
ENSDARG00000002509	24	0	0	1	0	2	0	0	2	0	0	0	3	0	0
ENSDARG00000002510	0	0	19	3	3	7	8	0	0	0	0	26	0	0	0
ENSDARG00000002523	212	59	177	8	50	212	146	12	29	7	169	156	108	8	16
ENSDARG00000002533	17	0	19	7	14	19	23	7	0	4	16	11	8	2	3
ENSDARG00000002536	136	43	73	30	53	79	55	42	33	19	47	102	49	5	69
ENSDARG00000002538	114	16	67	28	59	67	21	27	68	5	95	101	114	10	53
ENSDARG00000002546	74	11	16	59	43	50	21	80	18	40	8	97	53	11	23
ENSDARG00000002549	2	10	24	16	6	58	3	9	25	5	7	14	33	0	16
ENSDARG00000002552	425	105	146	70	146	221	105	87	73	56	120	158	179	47	84
ENSDARG00000002564	195	18	47	29	42	111	36	48	23	30	60	68	110	39	67
ENSDARG00000002571	147	45	90	20	36	87	47	28	39	5	70	56	69	65	52
ENSDARG00000002576	36	17	17	25	24	56	19	18	16	11	12	96	40	19	10
ENSDARG00000002582	135	11	47	11	1	66	17	35	36	7	36	75	7	30	18
ENSDARG00000002587	946	210	497	178	415	818	426	315	382	255	261	760	706	215	337
ENSDARG00000002589	940	257	395	369	479	527	305	281	300	160	298	463	400	127	267
ENSDARG00000002591	85	58	66	50	47	43	115	47	32	22	6	125	23	16	79
ENSDARG00000002593	34	1	18	0	0	3	1	0	2	23	0	20	0	0	16
ENSDARG00000002597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000002600	299	67	158	92	98	233	126	139	68	46	55	379	284	75	87
ENSDARG00000002601	9	2	8	7	0	4	0	3	0	0	0	0	6	4	26
ENSDARG00000002607	69	21	31	8	41	21	60	49	55	14	27	102	112	8	14
ENSDARG00000002609	58	16	59	59	65	54	35	66	21	37	26	53	124	3	13
ENSDARG00000002613	7	2	10	0	2	2	0	12	1	0	0	0	0	0	0
ENSDARG00000002632	175	44	54	109	43	137	55	116	15	49	83	199	120	8	72
ENSDARG00000002634	22	9	20	9	15	26	6	4	6	0	1	14	51	0	0
ENSDARG00000002635	235	95	194	86	217	271	147	162	65	67	72	252	386	68	100
ENSDARG00000002642	54	5	25	14	0	4	23	13	27	4	15	18	24	0	12
ENSDARG00000002644	95	43	69	28	35	63	37	22	40	6	30	55	10	9	24
